strategy,data_type,total_arrivals,exec_rejection_rate,backup_processed,backup_rejection_rate,feed_rejection_rate,final_throughput,avg_response_time
systematic,Synthetic,4072,0.0,4071,0.0,0.2787328094302554,1.462,13.1930444539516
random_50,Synthetic,4045,0.0,1976,0.0,0.25933250927070456,1.4875,12.806895175087607
random_20,Synthetic,4013,0.0,815,0.0,0.2450149551345962,1.507,12.467370059484104
systematic,Real,159835,0.0010823661901335753,159662,0.0,0.0017286517768786561,0.037327464501635585,1.881804975051347
random_50,Real,159835,0.0010198016704726749,79785,0.0,0.0013715617014880505,0.037343155591954745,1.8454816973934751
random_20,Real,159835,0.0010698532862013952,31975,0.0,0.0017035775127768314,0.037328869673902976,1.8075643036987052
