Policy,Population,Avg Response Time,Avg Waiting Time,Completed
FIFO,PREPA,0.5597007328854946,0.08251050175505387,956
FIFO,ING,0.4826635045320084,0.07682034394043488,3061
SJF,PREPA,0.5490145859398108,0.07182435480937,956
SJF,ING,0.4646518618752166,0.05880870128364303,3061
PRIORITY,PREPA,0.5920449134812161,0.11485468235077538,956
PRIORITY,ING,0.4679420862338254,0.062098925642251876,3061
